priority_rank,game_name,game_url,canonical_game_key,missing_rank_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,first_observed_play_count_date,first_observed_play_count_source,page_gap_status,metrics_status,exact_metrics_endpoint_count,exact_metrics_cdx_rows,exact_metrics_cached_endpoint_count,exact_metrics_missing_cache_count,exact_metrics_first_cdx_date,exact_metrics_last_cdx_date,exact_metrics_cdx_rows_in_missing_window,exact_metrics_sampled_rows_in_missing_window,exact_metrics_parsed_rows,exact_metrics_first_parsed_date,exact_metrics_first_parsed_plays,exact_metrics_gap_status,side_endpoint_observations,side_endpoint_cdx_hit_observations,side_endpoint_rows_in_missing_window,side_endpoint_parsed_rows,developer_list_observations,developer_list_rows_in_missing_window,recommended_next_action
1,Supermechs,http://www.kongregate.com/games/Tacticsoft/supermechs,www.kongregate.com/games/tacticsoft/supermechs,274,2,2016-06-05,2018-11-25,2018-12-17,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,18,1,1,2018-12-17,2024-01-21,0,0,2,2018-12-17,3398196,exact_metrics_starts_after_missing_window,64,48,18,0,21,18,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
2,Bloons Monkey City,https://www.kongregate.com/games/Ninjakiwi/bloons-monkey-city,www.kongregate.com/games/ninjakiwi/bloons-monkey-city,530,4,2014-11-25,2018-01-10,2018-02-21,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,26,1,1,2018-02-21,2025-07-14,0,0,2,2018-02-21,12681018,exact_metrics_starts_after_missing_window,64,48,24,0,25,15,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
3,Crusaders of the Lost Idols,https://www.kongregate.com/games/Codename_Enter/crusaders-of-the-lost-idols,www.kongregate.com/games/codename_enter/crusaders-of-the-lost-idols,70,1,2015-08-09,2017-11-08,2018-04-19,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,8,1,1,2018-04-19,2024-01-20,0,0,24,2018-04-19,17651487,exact_metrics_starts_after_missing_window,64,48,16,0,24,15,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
4,Mu Complex : Episode One,http://www.kongregate.com/games/StudioCime/mu-complex-episode-one,www.kongregate.com/games/studiocime/mu-complex-episode-one,20,1,2014-11-11,2015-10-03,2018-04-15,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,2,1,1,2018-04-15,2026-03-12,0,0,3,2018-04-15,641755,exact_metrics_starts_after_missing_window,0,0,0,0,18,6,Exact metrics start too late; pursue broader list/account captures or external corroboration.
5,There is no game,https://www.kongregate.com/games/KaMiZoTo_Creator/there-is-no-game,www.kongregate.com/games/kamizoto_creator/there-is-no-game,15,1,2016-03-07,2017-03-18,2017-03-29,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,20,1,1,2017-03-29,2024-09-24,0,0,2,2017-03-29,743305,exact_metrics_starts_after_missing_window,64,48,24,0,30,9,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
6,Cosmos Quest,https://www.kongregate.com/games/GaiaByte/cosmos-quest,www.kongregate.com/games/gaiabyte/cosmos-quest,19,1,2017-03-04,2017-06-24,2017-09-04,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,8,1,1,2017-09-04,2025-08-13,0,0,2,2017-09-04,4947705,exact_metrics_starts_after_missing_window,0,0,0,0,24,9,Exact metrics start too late; pursue broader list/account captures or external corroboration.
7,The Enchanted Cave 2,http://www.kongregate.com/games/DustinAux/the-enchanted-cave-2,www.kongregate.com/games/dustinaux/the-enchanted-cave-2,39,1,2015-02-07,2015-09-15,2015-09-18,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,29,1,1,2015-09-18,2025-05-31,0,0,24,2015-09-18,1545521,exact_metrics_starts_after_missing_window,0,0,0,0,24,15,Exact metrics start too late; pursue broader list/account captures or external corroboration.
8,KingsRoad,http://www.kongregate.com/games/RumbleGames/kingsroad,www.kongregate.com/games/rumblegames/kingsroad,27,4,2014-12-27,2019-10-22,2021-03-18,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2021-03-18,2021-03-18,0,0,1,2021-03-18,5667526,exact_metrics_starts_after_missing_window,48,24,12,0,18,6,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
9,Blockade3D,https://www.kongregate.com/games/blockadeboss/blockade3d,www.kongregate.com/games/blockadeboss/blockade3d,24,3,2016-08-17,2019-03-02,2019-03-28,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,8,1,1,2019-03-28,2025-03-30,0,0,2,2019-03-28,535039,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
10,Superfighters,https://www.kongregate.com/games/TRBW001/superfighters,www.kongregate.com/games/trbw001/superfighters,69,10,2018-06-25,2022-02-08,2022-03-19,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2022-03-19,2022-03-19,0,0,1,2022-03-19,264900,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
11,Swarm Simulator,https://www.kongregate.com/games/swarmsim/swarm-simulator,www.kongregate.com/games/swarmsim/swarm-simulator,43,1,2015-02-23,2017-06-24,2017-09-01,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,15,1,1,2017-09-01,2024-08-19,0,0,18,2017-09-01,9854193,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
12,N Step Steve: Part 1,https://www.kongregate.com/games/EPGstudios/n-step-steve-part-1,www.kongregate.com/games/epgstudios/n-step-steve-part-1,29,4,2024-01-17,2025-10-07,2025-11-22,ranked_listing,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
13,Trimps,https://www.kongregate.com/games/GreenSatellite/trimps,www.kongregate.com/games/greensatellite/trimps,24,3,2015-07-26,2016-09-03,2016-09-17,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,39,1,1,2016-09-17,2025-05-13,0,0,17,2016-09-17,4289823,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
14,Sports Heads: Football Championship,https://www.kongregate.com/games/Mousebreaker/sports-heads-football-championship,www.kongregate.com/games/mousebreaker/sports-heads-football-championship,14,3,2024-04-01,2025-08-01,2025-08-19,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2025-08-19,2025-08-19,0,0,1,2025-08-19,1510580,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
15,Realm Grinder,https://www.kongregate.com/games/DivineGames/realm-grinder,www.kongregate.com/games/divinegames/realm-grinder,19,4,2015-07-26,2015-11-17,2015-12-02,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,49,1,1,2015-12-02,2025-08-19,0,0,18,2015-12-02,6889634,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
16,Medieval Chronicles 8 (Part 2),https://www.kongregate.com/games/VasantJ/medieval-chronicles-8-part-2,www.kongregate.com/games/vasantj/medieval-chronicles-8-part-2,13,5,2020-07-02,2020-07-09,2020-07-16,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,13,2,0,2020-07-16,2024-01-20,0,0,16,2020-07-16,12860,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
17,Fleeing the Complex,https://www.kongregate.com/games/Puffballs_United/fleeing-the-complex,www.kongregate.com/games/puffballs_united/fleeing-the-complex,270,10,2016-03-05,2018-03-12,2018-05-12,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,27,1,1,2018-05-12,2023-09-23,0,0,2,2018-05-12,1107903,exact_metrics_starts_after_missing_window,50,27,10,0,0,0,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
18,Medieval Chronicles 4,https://www.kongregate.com/games/VasantJ/medieval-chronicles-4,www.kongregate.com/games/vasantj/medieval-chronicles-4,5,1,2019-05-06,2019-07-18,2019-10-17,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,5,1,1,2019-10-17,2024-02-22,0,0,15,2019-10-17,43633,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
19,Medieval Cop 8 -DeathWish- (Part 3),http://www.kongregate.com/games/VasantJ/medieval-cop-8-deathwish-part-3,www.kongregate.com/games/vasantj/medieval-cop-8-deathwish-part-3,12,3,2017-08-25,2017-09-16,2021-09-02,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,5,1,1,2021-09-02,2024-02-22,0,0,13,2021-09-02,102235,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
20,Unpuzzle 2,https://www.kongregate.com/games/KekGames/unpuzzle-2,www.kongregate.com/games/kekgames/unpuzzle-2,7,1,2018-03-10,2019-05-26,2019-07-02,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,24,1,1,2019-07-02,2024-01-21,0,0,24,2019-07-02,379847,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
21,Medieval Cop 9 -Song & Silence- (Part 1),https://www.kongregate.com/games/VasantJ/medieval-cop-9-song-silence-part-1,www.kongregate.com/games/vasantj/medieval-cop-9-song-silence-part-1,12,4,2019-05-06,2020-01-02,2020-04-27,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,4,1,1,2020-04-27,2024-02-22,0,0,8,2020-04-27,52621,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
22,The Very Organized Thief,http://www.kongregate.com/games/arcan3artist/the-very-organized-thief,www.kongregate.com/games/arcan3artist/the-very-organized-thief,44,5,2014-11-01,2017-04-08,2017-11-16,metrics_json,dynamic_metrics_placeholder,has_metrics,2,5,1,1,2017-11-16,2024-12-18,0,0,1,2019-07-02,1524637,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
23,Trader of Stories - Chapter 3,https://www.kongregate.com/games/mrudi/trader-of-stories-chapter-3,www.kongregate.com/games/mrudi/trader-of-stories-chapter-3,18,5,2024-04-01,2026-01-03,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
24,Super Hot,http://www.kongregate.com/games/Bunny_Engel/super-hot,www.kongregate.com/games/bunny_engel/super-hot,48,7,2014-11-02,2017-04-15,2017-10-05,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2017-10-05,2017-10-05,0,0,1,2017-10-05,545601,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
25,Evo Explores,https://www.kongregate.com/games/tobeglad/evo-explores,www.kongregate.com/games/tobeglad/evo-explores,16,4,2016-09-05,2019-05-26,2019-07-02,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,16,1,1,2019-07-02,2025-03-02,0,0,9,2019-07-02,354416,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
26,Medieval Chronicles 9,https://www.kongregate.com/games/VasantJ/medieval-chronicles-9,www.kongregate.com/games/vasantj/medieval-chronicles-9,24,6,2020-06-07,2023-12-01,2024-01-17,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,2,1,1,2024-01-17,2024-01-20,0,0,2,2024-01-17,27745,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
27,Miscrits,http://www.kongregate.com/games/BrokenBulb/miscrits,www.kongregate.com/games/brokenbulb/miscrits,6,3,2014-12-27,2015-04-03,2019-02-09,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2019-02-09,2019-02-09,0,0,1,2019-02-09,1817399,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
28,Drift Race in the open world,https://www.kongregate.com/games/roman8/drift-race-in-the-open-world,www.kongregate.com/games/roman8/drift-race-in-the-open-world,16,4,2024-01-21,2025-10-07,2026-06-29,live_metrics_json,no_page_cdx_rows,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
29,Swords and Souls,https://www.kongregate.com/games/SoulGame/swords-and-souls,www.kongregate.com/games/soulgame/swords-and-souls,4,1,2015-10-29,2015-11-17,2015-11-22,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,51,1,1,2015-11-22,2024-01-29,0,0,19,2015-11-22,1362561,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
30,Game of Thrones Ascent,http://www.kongregate.com/games/DisruptorBeam/game-of-thrones-ascent,www.kongregate.com/games/disruptorbeam/game-of-thrones-ascent,28,6,2014-11-10,2016-06-01,2026-07-02,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2024-05-28,2024-05-28,0,0,0,,,exact_metrics_starts_after_missing_window,48,24,18,0,0,0,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
31,Mu Complex : Episode Two,http://www.kongregate.com/games/StudioCime/mu-complex-episode-two,www.kongregate.com/games/studiocime/mu-complex-episode-two,3,1,2015-05-12,2015-10-03,2020-03-27,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2020-03-27,2020-03-27,0,0,3,2020-03-27,293193,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
32,Footie Fight,https://www.kongregate.com/games/oogzyent/footie-fight,www.kongregate.com/games/oogzyent/footie-fight,15,5,2024-04-01,2025-10-07,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
33,Medieval Cop - Dregg Me To Hell,http://www.kongregate.com/games/VasantJ/medieval-cop-dregg-me-to-hell,www.kongregate.com/games/vasantj/medieval-cop-dregg-me-to-hell,8,4,2016-11-18,2016-12-05,2023-08-21,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,5,1,1,2023-08-21,2024-02-22,0,0,2,2023-08-21,144385,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
34,The Gates of Heaven,http://www.kongregate.com/games/EmperorMason/the-gates-of-heaven,www.kongregate.com/games/emperormason/the-gates-of-heaven,2,1,2014-09-26,2014-09-26,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,10,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
35,Escape Game - Computer Office Escape,https://www.kongregate.com/games/masasgames/escape-game-computer-office-escape,www.kongregate.com/games/masasgames/escape-game-computer-office-escape,5,1,2020-06-02,2020-06-20,2020-06-21,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,38,1,1,2020-06-21,2025-10-03,0,0,21,2020-06-21,112505,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
36,Last Warrior,http://www.kongregate.com/games/sstudioss/last-warrior,www.kongregate.com/games/sstudioss/last-warrior,1,1,2014-09-02,2014-09-02,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,0,0,0,9,0,Escalate to broader list/account captures or external corroboration.
37,SpaceWarrior,http://www.kongregate.com/games/listenme02/spacewarrior,www.kongregate.com/games/listenme02/spacewarrior,1,1,2014-09-12,2014-09-12,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,0,0,0,1,0,Escalate to broader list/account captures or external corroboration.
38,The Funniest Game Ever,http://www.kongregate.com/games/Creeptasticman/the-funniest-game-ever,www.kongregate.com/games/creeptasticman/the-funniest-game-ever,1,1,2014-10-24,2014-10-24,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,0,0,0,15,0,Escalate to broader list/account captures or external corroboration.
39,The Saga Of The Wind Mobiles,http://www.kongregate.com/games/GhostTheFi/the-saga-of-the-wind-mobiles,www.kongregate.com/games/ghostthefi/the-saga-of-the-wind-mobiles,1,1,2016-06-29,2016-06-29,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,0,0,0,6,0,Escalate to broader list/account captures or external corroboration.
40,as3q32@gmail.com,http://www.kongregate.com/games/W3STS1DE/as3q32-gmail-com,www.kongregate.com/games/w3sts1de/as3q32-gmail-com,1,1,2016-07-07,2016-07-07,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,20,0,0,0,6,0,Escalate to broader list/account captures or external corroboration.
41,Make Me 10,http://www.kongregate.com/games/LinhVo1611/make-me-10,www.kongregate.com/games/linhvo1611/make-me-10,1,1,2017-05-16,2017-05-16,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,12,0,0,12,0,Escalate to broader list/account captures or external corroboration.
42,Key to Success,http://www.kongregate.com/games/SamuelVenable/key-to-success,www.kongregate.com/games/samuelvenable/key-to-success,1,1,2017-05-25,2017-05-25,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,2,2,0,0,3,0,Escalate to broader list/account captures or external corroboration.
43,Missiles Again,http://www.kongregate.com/games/mafagames/missiles-again,www.kongregate.com/games/mafagames/missiles-again,1,1,2017-05-26,2017-05-26,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,4,0,0,59,0,Escalate to broader list/account captures or external corroboration.
44,The Space Commando,http://www.kongregate.com/games/Eternal_Vanguard/the-space-commando,www.kongregate.com/games/eternal_vanguard/the-space-commando,1,1,2017-08-17,2017-08-17,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,2,2,0,0,7,0,Escalate to broader list/account captures or external corroboration.
45,Run Bird Run Online,http://www.kongregate.com/games/mafagames/run-bird-run-online,www.kongregate.com/games/mafagames/run-bird-run-online,1,1,2017-08-25,2017-08-25,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,12,3,0,0,59,0,Escalate to broader list/account captures or external corroboration.
46,Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,www.kongregate.com/games/brvasil/zombie-derby-2,1,1,2017-09-13,2017-09-13,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,18,0,0,0,23,0,Escalate to broader list/account captures or external corroboration.
47,Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,www.kongregate.com/games/coralcnora/football-legends-2016,1,1,2017-09-30,2017-09-30,,,no_page_cdx_rows,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,28,0,0,0,5,0,Escalate to broader list/account captures or external corroboration.
48,LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,www.kongregate.com/games/sandmanza/lt-breakout,1,1,2017-10-24,2017-10-24,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,6,6,0,0,0,0,Escalate to broader list/account captures or external corroboration.
49,Surrounded,https://www.kongregate.com/games/JasonNumberXIII/surrounded,www.kongregate.com/games/jasonnumberxiii/surrounded,1,1,2021-11-12,2021-11-12,,,dynamic_metrics_placeholder,no_cdx,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,30,8,0,0,78,0,Escalate to broader list/account captures or external corroboration.
50,Bad Eggs Online 2,http://www.kongregate.com/games/Rob_Almighty/bad-eggs-online-2,www.kongregate.com/games/rob_almighty/bad-eggs-online-2,23,8,2015-04-03,2017-10-25,2018-03-23,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,24,2,0,2018-03-23,2024-01-17,0,0,6,2018-03-23,2259109,exact_metrics_starts_after_missing_window,44,18,12,0,0,0,Exact metrics start too late and side endpoints lack public counts; pursue list/account captures or external corroboration.
51,Robo Racing,http://www.kongregate.com/games/smokoko/robo-racing,www.kongregate.com/games/smokoko/robo-racing,2,1,2014-09-19,2014-09-19,2023-11-06,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2023-11-06,2023-11-06,0,0,1,2023-11-06,5156,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
52,The Adventures of Bit and Ravh,http://www.kongregate.com/games/gillenew/the-adventures-of-bit-and-ravh,www.kongregate.com/games/gillenew/the-adventures-of-bit-and-ravh,2,1,2014-10-17,2014-10-18,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,7,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
53,Dino Storm,https://www.kongregate.com/games/SplitscreenGames/dino-storm,www.kongregate.com/games/splitscreengames/dino-storm,14,7,2015-02-15,2019-02-01,2019-04-23,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,3,1,1,2019-04-23,2023-12-23,0,0,2,2019-04-23,1064679,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
54,Unpuzzle,https://www.kongregate.com/games/KekGames/unpuzzle,www.kongregate.com/games/kekgames/unpuzzle,4,3,2019-02-01,2019-05-26,2019-07-02,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,13,1,1,2019-07-02,2024-01-21,0,0,22,2019-07-02,417768,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
55,Medieval Chronicles 7,https://www.kongregate.com/games/VasantJ/medieval-chronicles-7,www.kongregate.com/games/vasantj/medieval-chronicles-7,3,1,2020-01-01,2020-01-06,2020-01-08,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,3,1,1,2020-01-08,2024-01-20,0,0,6,2020-01-08,7990,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
56,Robo-Jump,http://www.kongregate.com/games/gr33ngunner007/robo-jump,www.kongregate.com/games/gr33ngunner007/robo-jump,2,1,2014-10-03,2014-10-04,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,8,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
57,Discover,http://www.kongregate.com/games/N_DEVELOPER/discover,www.kongregate.com/games/n_developer/discover,2,1,2016-01-16,2016-02-02,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
58,Pou Popper,http://www.kongregate.com/games/botsgames/pou-popper,www.kongregate.com/games/botsgames/pou-popper,1,1,2014-08-08,2014-08-08,2026-06-30,live_metrics_json,no_page_cdx_rows,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
59,Wheelie Legend,http://www.kongregate.com/games/colburt187/wheelie-legend,www.kongregate.com/games/colburt187/wheelie-legend,1,1,2014-08-22,2014-08-22,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,5,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
60,Battle Of Heroes,http://www.kongregate.com/games/Andrew_Nyers/battle-of-heroes,www.kongregate.com/games/andrew_nyers/battle-of-heroes,1,1,2014-08-26,2014-08-26,2022-06-18,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2022-06-18,2022-06-18,0,0,1,2022-06-18,57018,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
61,Jellydad Hero,http://www.kongregate.com/games/PITon_/jellydad-hero,www.kongregate.com/games/piton_/jellydad-hero,1,1,2014-08-29,2014-08-29,2021-06-08,count_source_probe,dynamic_metrics_placeholder,has_metrics,2,1,1,1,2021-06-08,2021-06-08,0,0,1,2021-06-08,31610,exact_metrics_starts_after_missing_window,0,0,0,0,0,0,Exact metrics start too late; pursue broader list/account captures or external corroboration.
62,Alexia Crow and the pandora's box,http://www.kongregate.com/games/josepho/alexia-crow-and-the-pandoras-box,www.kongregate.com/games/josepho/alexia-crow-and-the-pandoras-box,1,1,2014-09-05,2014-09-05,2026-06-30,live_metrics_json,no_page_cdx_rows,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
63,The world most bugged game,http://www.kongregate.com/games/ErnaniR/the-world-most-bugged-game,www.kongregate.com/games/ernanir/the-world-most-bugged-game,1,1,2014-09-14,2014-09-14,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,5,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
64,Classical Snake,http://www.kongregate.com/games/bilinmexx/classical-snake,www.kongregate.com/games/bilinmexx/classical-snake,1,1,2014-09-19,2014-09-19,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,5,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
65,Brakeless Trials Game 2014,http://www.kongregate.com/games/lpunderground1/brakeless-trials-game-2014,www.kongregate.com/games/lpunderground1/brakeless-trials-game-2014,1,1,2014-09-20,2014-09-20,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,7,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
66,Evolve,http://www.kongregate.com/games/MohtashamS/evolve,www.kongregate.com/games/mohtashams/evolve,1,1,2014-09-26,2014-09-26,2026-06-30,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,10,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
67,Bakery French Bread,http://www.kongregate.com/games/IanStokes/bakery-french-bread,www.kongregate.com/games/ianstokes/bakery-french-bread,1,1,2014-10-04,2014-10-04,2026-06-29,live_metrics_json,dynamic_metrics_placeholder,has_metrics,2,0,2,0,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Escalate to broader list/account captures or external corroboration.
