catalog_index,game_name,game_url,canonical_game_key,kongregate_game_ids,status,priority_score,best_rank,top_n_appearances,listing_play_count_rows,max_listing_play_count_observed,needs_game_page_history,metrics_rows,first_metric_date,last_metric_date,cdx_rows,valid_cached_captures,known_failed_captures,fresh_pending_captures,missing_cdx_cache_files,failure_errors,first_seen_date,last_seen_date
115,as3q32@gmail.com,http://www.kongregate.com/games/W3STS1DE/as3q32-gmail-com,www.kongregate.com/games/w3sts1de/as3q32-gmail-com,265089,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2016-07-07,2016-07-07
158,Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,www.kongregate.com/games/coralcnora/football-legends-2016,286595,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2017-09-30,2017-09-30
179,Key to Success,http://www.kongregate.com/games/SamuelVenable/key-to-success,www.kongregate.com/games/samuelvenable/key-to-success,281320,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2017-05-25,2017-05-25
182,Last Warrior,http://www.kongregate.com/games/sstudioss/last-warrior,www.kongregate.com/games/sstudioss/last-warrior,219007,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2014-09-02,2014-09-02
187,LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,www.kongregate.com/games/sandmanza/lt-breakout,287432,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2017-10-24,2017-10-24
190,Make Me 10,http://www.kongregate.com/games/LinhVo1611/make-me-10,www.kongregate.com/games/linhvo1611/make-me-10,280876,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2017-05-16,2017-05-16
195,Missiles Again,http://www.kongregate.com/games/mafagames/missiles-again,www.kongregate.com/games/mafagames/missiles-again,281370,cdx_cache_missing,3351,1,1,0,,yes,0,,,0,0,0,0,1,,2017-05-26,2017-05-26
220,Run Bird Run Online,http://www.kongregate.com/games/mafagames/run-bird-run-online,www.kongregate.com/games/mafagames/run-bird-run-online,285286,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2017-08-25,2017-08-25
237,SpaceWarrior,http://www.kongregate.com/games/listenme02/spacewarrior,www.kongregate.com/games/listenme02/spacewarrior,219820,cdx_cache_missing,3351,1,1,0,,yes,0,,,0,0,0,0,4,,2014-09-12,2014-09-12
246,Surrounded,https://www.kongregate.com/games/JasonNumberXIII/surrounded,www.kongregate.com/games/jasonnumberxiii/surrounded,315795,cdx_cache_missing,3351,1,1,0,,yes,0,,,0,0,0,0,5,,2021-11-12,2021-11-12
253,The Funniest Game Ever,http://www.kongregate.com/games/Creeptasticman/the-funniest-game-ever,www.kongregate.com/games/creeptasticman/the-funniest-game-ever,222948,cdx_cache_missing,3351,1,1,0,,yes,0,,,0,0,0,0,4,,2014-10-24,2014-10-24
256,The Saga Of The Wind Mobiles,http://www.kongregate.com/games/GhostTheFi/the-saga-of-the-wind-mobiles,www.kongregate.com/games/ghostthefi/the-saga-of-the-wind-mobiles,264673,no_cdx,3351,1,1,0,,yes,0,,,0,0,0,0,0,,2016-06-29,2016-06-29
257,The Space Commando,http://www.kongregate.com/games/Eternal_Vanguard/the-space-commando,www.kongregate.com/games/eternal_vanguard/the-space-commando,284970,cdx_cache_missing,3351,1,1,0,,yes,0,,,0,0,0,0,3,,2017-08-17,2017-08-17
